1.5545	Most refugees were women, children, elderly, or disabled.	大多数难民是妇女、儿童、老人或残疾人。
1.0679	Although a deal had not been reached yet, Ukrainian negotiator and advisor to the president Mykhailo Podoliak tweeted that "there were some small positive shifts regarding logistics of humanitarian corridors."	乌克兰总统办公室主任顾问米哈伊尔·波多利亚克；
1.0677	Unable to achieve a quick victory in Kyiv, Russian forces switched their strategy to indiscriminate bombing and siege warfare.	与网络上流传的“钢铁洪流”、“俄军闪电平推基辅”不同，俄陆军没有快速推进，而是通过空军和导弹部队确保制空权并消磨乌军的反抗力量。
1.0676	Qin also said Beijing has not provided weapons to either side of the Ukraine conflict.	库列巴表示，中国外交部长秦刚在谈话中向他保证，北京不会向莫斯科提供武器，并补充说，到目前为止，乌克兰并未看到中国对俄罗斯联邦的军事支持有所增加。
1.0675	China has attempted to mediate between Russia and Ukraine but has faced criticism of its proposals.	俄罗斯称已准备好对话，但乌克兰对俄罗斯的态度表示质疑。
1.0671	Sister sub of r/Russia, r/RussiaPolitics was also quarantined for similar reasons.	作为回应，爱沙尼亚亦根据对等原则要求俄罗斯大使离开。
1.0670	On 21 September, Russia began missile strikes across Ukraine, damaging the country's energy facilities.	2023年9月7日，俄罗斯轰炸了靠近前线的顿涅茨克州康斯坦丁尼夫卡，造成16位平民死亡，28位平民受伤。
1.0669	U.S. officials stated that according to intelligence gleaned from Russia, China was considering supplying the country with lethal aid.	金融时报则表示中国表示愿意提供军事援助。
1.0667	NATO is coordinating and helping member states to provide billions of dollars in military equipment and financial aid to Ukraine.	同时，美国与欧盟等国家或组织，向乌克兰提供武器及经济支援。
1.0667	First round (28 February) ====	28日，双方展开首轮谈判。
1.0657	Russia's invasion also prompted Finland to join NATO, doubling the length of Russia's border with NATO.	而俄乌战争期间，芬兰、瑞典申请加入北约，意味着俄罗斯-北约边界增加1300多公里扩大一倍有余，波罗的海舰队总部和俄罗斯的经济中心圣彼得罗堡将完全暴露在北约威胁下；
1.0653	In response to US President Joe Biden's indication that enhanced artillery would be provided to Ukraine, Putin said that Russia would expand its invasion front to include new cities in Ukraine.	2月24日，美国总统乔·拜登接受美国广播公司独家采访时承诺，如果中国向俄罗斯提供用于对乌克兰作战的致命武器，将对其实施适当的制裁。
1.0650	On 3 September, Poroshenko said he and Putin had reached a "permanent ceasefire" agreement.	5月17日，俄罗斯与乌克兰分别表示，俄乌之间的和平谈判已处于暂停状态。
1.0648	Russia gained de facto control of the Kerch Strait in 2014.	俄罗斯中央银行宣布自2014年吞并克里米亚以来的首次市场干预以稳定市场。
1.0646	On 15 April, the Ukrainian parliament declared Crimea a territory temporarily occupied by Russia.	5月24日，俄罗斯外交部宣布禁止英国154名议员入境俄罗斯。
1.0645	In March 2022, Russian state-controlled news agencies claimed, without evidence, that Ukraine was developing a plutonium-based dirty bomb nuclear weapon at the Chernobyl Nuclear Power Plant.	俄罗斯新闻社于2022年5月4日报导，指俄军在特廖希兹本卡前乌克兰迫击炮阵地发现乌克兰军方涉嫌进行黑魔法仪式。
1.0639	Russian troops were deeply involved in these conflicts.	俄罗斯也与中国在战争中保持密切的关系。
1.0638	International armed conflict in Ukraine at the Rule of Law in Armed Conflicts Project	国际刑事法院对俄军在乌克兰的战争罪指控展开调查。
1.0633	In the same month, Ukraine rejected a peace plan proposed by Mexico.	美国更在同年5月通过一项决议，向乌克兰提供总额超过500亿美元的援助。
1.0631	China has not condemned the Russian invasion of Ukraine and has abstained during United Nations votes on the war in Ukraine.	中国在联合国及其他国际组织涉及乌克兰战争的大多数投票中投下弃权，有少数为支持俄罗斯或支持乌克兰。
1.0628	The Euro and the US dollar both rose, as did the Australian dollar.	消息公布后卢布大幅升值，天然气价格迅速高涨。
1.0622	The initial reaction to the escalation of tensions in Crimea caused the Russian and European stock market to tumble.	冲突导致的小麦价格飙升已经给高度依赖俄罗斯和乌克兰小麦出口的埃及等国家带来了压力，并引发了对社会动荡的担忧。
1.0611	Later that day, the Financial Times reported that a 15-point plan, first discussed on 14 March, negotiated with the Russians was being identified by Zelenskyy as more realistic for ending the war.	后来，乌克兰总统泽伦斯基在2月15日的Facebook上的一份声明中写道，他被告知2月16日为“入侵日”，决定将该日定为该国第1个团结日。
1.0609	Russia's anti-mercenary legislation defined a mercenary as someone who "takes part [in fighting] with aims counter to the interests of the Russian Federation".	《经济学人》在一篇根据军事、经济、外交、能源指标进行分类的“俄罗斯各式各样的朋友”（Russia’s friends are a motley—and shrinking—crew）评估中，将中国列为“机会主义轴心”(Opportunist Axis)，即是将西方制裁视为以优惠条件增加与俄罗斯贸易的机会主义者。
1.0608	In March and April 2021, Russia built up its forces near the Russia–Ukraine border, and again in both Russia and Belarus between October 2021 and February 2022.	2021年至2022年间，俄罗斯不断向乌克兰边境增兵，双方剑拔弩张，引发危机。
1.0603	By 26 April, the Secretary-General of the United Nations António Guterres visited Russia for the purpose of speaking with Putin and Lavrov in separate meetings, and after the meetings with them indicating skepticism as to any short term resolution of differences between Russia and Ukraine largely due to very different respective perspectives on the circumstances of the invasion presently being adopted by each of the two nations.	4月26日，习近平和乌克兰总统弗拉基米尔·泽连斯基通电话，就中乌关系和俄乌战争交换意见，宣布将派出欧亚事务特别代表赴乌克兰等国访问，就政治解决危机同各方进行深入沟通。
1.0602	Zaporizhzhia front	“北约对戈尔巴乔夫的不东扩承诺”
1.0602	Putin falsely claimed that the Ukrainian government were neo-Nazis and announced that one of his goals was the "de-Nazification of Ukraine".	普京借此指责乌克兰当局是“新纳粹”。
1.0598	Official and estimated numbers of prisoners of war (POW) have varied.	许多人本身是原国籍的退伍军人或特种部队成员。
1.0598	In 2015, Russian state media reported that Russia planned to completely abandon gas supplies to Europe through Ukraine after 2018.	2015年，俄罗斯政府将亚速营列入恐怖组织名单。
1.0597	Russia was a signatory to the 1994 Budapest Memorandum political agreement, providing security assurances to Ukraine.	1994年，各方签署《布达佩斯安全保障备忘录》承诺保障乌克兰领土完整，俄国在1997年的乌俄两国友好合作伙伴关系条约中重申承认克里米亚半岛归属乌克兰，作为交换俄国黑海舰队租借塞瓦斯托波尔军港作为基地。
1.0594	By August 2014, the Ukrainian "Anti-Terrorist Operation" shrank the territory under pro-Russian control, and approached the border.	2014年以来，俄罗斯政府变本加厉地塑造这一不实之说，试图合理化对乌克兰的军事侵略并进行辩解。
1.0593	Such comments have also been found on social media in the Republic of China.	而这些帖子的特点是亲中国的叙述和对美国的批评。
1.0591	The four-part proposal, posted as a Twitter poll, suggested new referendums under UN supervision on the annexation of Russian-occupied territories.	俄罗斯在4个占领区举办公投，列入俄罗斯领土，西方谴责公投作假。
1.0589	Ukrainian Foreign Minister Dmytro Kuleba stated that while his country was ready for talks to resume, Russia's demands had not changed.	乌克兰总统弗拉基米尔·泽连斯基称：据乌克兰外长德米特里·库列巴介绍，乌克兰代表团听取了俄罗斯的意见，并就这场战争表达了自己的立场。
1.0589	Media reports included maps, documents, and photos of birds with American military insignia, and also claimed that live, infected birds had been captured in eastern Ukraine.	扎哈罗娃还表示俄罗斯取得的文件显示乌克兰当局下令在俄罗斯2月24日进军前销毁鼠疫、霍乱、炭疽等病原体，这些都属于美国五角大楼资助的军事生物项目。
1.0587	A study performed by Airlangga University revealed that 71% of Indonesian netizens supported the invasion.	欧盟民众中，61.9%支持军援。
